BOROUGH,longitude,latitude,Residential,Education Facility,Cultural Facility,Recreational Facility,Social Services,Transportation Facility,Commercial,Government Facility,Religious Institution,Health Services,Public Safety,Water,Miscellaneous
Queens,-73.7803456920204,40.74257477266049,0,0,0,0,0,1,0,0,0,0,0,0,0
Manhattan,-73.91536775251994,40.862882465864615,0,0,0,0,0,1,0,0,0,0,0,0,0
Bronx,-73.91393542379272,40.862280050339095,0,0,0,0,0,1,0,0,0,0,0,0,0
Brooklyn,-73.9546189026527,40.58511528152717,0,0,0,0,0,1,0,0,0,0,0,0,0
Bronx,-73.91236996499501,40.88658216476516,0,0,0,0,0,1,0,0,0,0,0,0,0
Manhattan,-73.9281968358793,40.84704169882364,0,0,0,0,0,1,0,0,0,0,0,0,0
Bronx,-73.92688313430749,40.84643362654205,0,0,0,0,0,1,0,0,0,0,0,0,0
Bronx,-73.82558759629337,40.83812775282768,0,0,0,0,0,1,0,0,0,0,0,0,0
Manhattan,-73.97583036119002,40.71466267350947,0,0,0,0,0,1,0,0,0,0,0,0,0
Brooklyn,-73.9685528826431,40.712545916441776,0,0,0,0,0,1,0,0,0,0,0,0,0
Manhattan,-73.92975595073926,40.80316987794497,0,0,0,0,0,1,0,0,0,0,0,0,0
Bronx,-73.9279960868633,40.80407008074819,0,0,0,0,0,1,0,0,0,0,0,0,0
Staten Island,-74.19527143472402,40.63744873023917,0,0,0,0,0,1,0,0,0,0,0,0,0
Manhattan,-73.98246961982039,40.78895757034856,0,0,0,0,0,1,0,0,0,0,0,0,0
Manhattan,-73.97579761376278,40.798186126897065,0,0,0,0,0,1,0,0,0,0,0,0,0
Manhattan,-73.97634007734891,40.79604339994933,0,0,0,0,0,1,0,0,0,0,0,0,0
Manhattan,-73.97493980841755,40.79902913535916,0,0,0,0,0,1,0,0,0,0,0,0,0
Manhattan,-73.9422593399454,40.85218716976465,0,0,0,0,0,1,0,0,0,0,0,0,0
Manhattan,-73.9794093038636,40.71114664104554,0,0,0,0,0,1,0,0,0,0,0,0,0
Manhattan,-73.97503616182371,40.718810213636914,0,0,0,0,0,1,0,0,0,0,0,0,0
Manhattan,-73.97467227012821,40.73706605321987,0,0,0,0,0,1,0,0,0,0,0,0,0
Manhattan,-73.96338119976281,40.753508734087596,0,0,0,0,0,1,0,0,0,0,0,0,0
Manhattan,-73.95583903638837,40.76107411042474,0,0,0,0,0,1,0,0,0,0,0,0,0
Manhattan,-73.95198707143001,40.765262366786935,0,0,0,0,0,1,0,0,0,0,0,0,0
Manhattan,-73.94831284914379,40.7695425260006,0,0,0,0,0,1,0,0,0,0,0,0,0
Manhattan,-73.94586892313326,40.771909959440094,0,0,0,0,0,1,0,0,0,0,0,0,0
Manhattan,-73.9390646723495,40.78633802968202,0,0,0,0,0,1,0,0,0,0,0,0,0
Manhattan,-73.92929637316843,40.79699996654381,0,0,0,0,0,1,0,0,0,0,0,0,0
Manhattan,-73.97321844913552,40.72424708531616,0,0,0,0,0,1,0,0,0,0,0,0,0
Manhattan,-73.9586508194836,40.75903627036983,0,0,0,0,0,1,0,0,0,0,0,0,0
Manhattan,-73.93046745777006,40.803186078917186,0,0,0,0,0,1,0,0,0,0,0,0,0
Manhattan,-73.99020718991814,40.70666003999598,0,0,0,0,0,1,0,0,0,0,0,0,0
Manhattan,-73.99015938948921,40.706362050102875,0,0,0,0,0,1,0,0,0,0,0,0,0
Manhattan,-73.95416958994653,40.75661779985293,0,0,0,0,0,1,0,0,0,0,0,0,0
Manhattan,-73.9539018697039,40.7567170303991,0,0,0,0,0,1,0,0,0,0,0,0,0
Manhattan,-73.91062127206371,40.87397452529884,0,0,0,0,0,1,0,0,0,0,0,0,0
Manhattan,-73.93707089592537,40.786051012439366,0,0,0,0,0,1,0,0,0,0,0,0,0
Manhattan,-74.00268009957013,40.75483425993251,0,0,0,0,0,1,0,0,0,0,0,0,0
Manhattan,-73.93248182014078,40.860856610327,0,0,0,0,0,1,0,0,0,0,0,0,0
Manhattan,-73.93295648010997,40.862599130042945,0,0,0,0,0,1,0,0,0,0,0,0,0
Manhattan,-73.99924269943536,40.75712695239721,0,0,0,0,0,1,0,0,0,0,0,0,0
Manhattan,-73.998477790556,40.757606278717084,0,0,0,0,0,1,0,0,0,0,0,0,0
Manhattan,-73.99801212807859,40.758198896546354,0,0,0,0,0,1,0,0,0,0,0,0,0
Manhattan,-73.99560802875834,40.760569487303485,0,0,0,0,0,1,0,0,0,0,0,0,0
Manhattan,-73.99428965785634,40.76245770301794,0,0,0,0,0,1,0,0,0,0,0,0,0
Manhattan,-73.99379367855823,40.76306697068556,0,0,0,0,0,1,0,0,0,0,0,0,0
Manhattan,-73.9934931005229,40.76375019943864,0,0,0,0,0,1,0,0,0,0,0,0,0
Manhattan,-73.99293762041201,40.76433171230403,0,0,0,0,0,1,0,0,0,0,0,0,0
Manhattan,-73.99194903920325,40.765576833109854,0,0,0,0,0,1,0,0,0,0,0,0,0
Manhattan,-73.99170917927343,40.766276675713364,0,0,0,0,0,1,0,0,0,0,0,0,0
Manhattan,-73.99127268715677,40.76692712900952,0,0,0,0,0,1,0,0,0,0,0,0,0
Manhattan,-73.99062842820379,40.77085943508664,0,0,0,0,0,1,0,0,0,0,0,0,0
Manhattan,-73.99067492957354,40.771250110203546,0,0,0,0,0,1,0,0,0,0,0,0,0
Manhattan,-73.99616973998958,40.759924566816274,0,0,0,0,0,1,0,0,0,0,0,0,0
Manhattan,-73.9510965599298,40.829220520333855,0,0,0,0,0,1,0,0,0,0,0,0,0
